"Pegelkennziffer","Pegelname","Datum","Wasserstand","Durchfluss","Flussgebiet"
"551208","Friedrichstadt","19.11.1999","","1,26","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.11.1999","","1,26","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.11.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.11.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.11.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.11.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.11.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.11.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.11.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.11.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.11.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.11.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.12.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.12.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.12.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.12.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.12.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.12.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.12.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.12.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.12.1999","","1,11","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.12.1999","","1,11","Nebenflüsse der Elbe"
